author,times,I,F,L,mark,uptype
SFLS_了不起的社团部,8,1,1,1,111,High-quality bloggers
SGS质慧生活,17,0,0,0,000,A growing bloggers
ST-ChemSociety,11,1,0,1,101,High-quality but slow updated bloggers
STEAM-PBL教育资源库,8,0,1,0,010,Active bloggers
STEM学院,20,0,0,1,001,High-quality content but slow updates bloggers
Sage爱种牙,9,1,0,1,101,High-quality but slow updated bloggers
SamChui,8,1,0,1,101,High-quality but slow updated bloggers
SamuelGHR,17,0,0,1,001,High-quality content but slow updates bloggers
Schroth施罗斯脊柱侧弯,6,1,1,0,110,Down to earth and active bloggers
SciTea科学茶老师,14,0,0,0,000,A growing bloggers
Scratch小站,13,0,0,0,000,A growing bloggers
SeanZhangL,5,1,0,0,100,Down to earth bloggers
SeeU酱,5,1,1,0,110,Down to earth and active bloggers
Sel-Naga,10,0,0,0,000,A growing bloggers
SeraphicJack,5,1,1,1,111,High-quality bloggers
Serendipity34,6,0,0,0,000,A growing bloggers
Serthe,12,0,0,1,001,High-quality content but slow updates bloggers
Shelly_Shan,37,0,0,0,000,A growing bloggers
Shepherd-TJ,7,0,1,1,011,High-quality content bloggers
SicShow,6,0,1,0,010,Active bloggers
Simu1acra,15,0,1,1,011,High-quality content bloggers
Singularity奇点TV,6,1,0,0,100,Down to earth bloggers
Skanmix,31,0,1,0,010,Active bloggers
Smartee正雅隐形矫治,5,0,1,0,010,Active bloggers
Sn1985a,18,0,1,0,010,Active bloggers
SnightSama,10,0,1,0,010,Active bloggers
SolidLiberals,7,1,1,0,110,Down to earth and active bloggers
Solitude--d,11,0,1,1,011,High-quality content bloggers
SpaceX-Starship,7,1,0,0,100,Down to earth bloggers
Space_Video,5,1,1,0,110,Down to earth and active bloggers
SpreadJS推崇者,23,0,1,0,010,Active bloggers
Starship_SpaceX,88,0,0,0,000,A growing bloggers
Steven0929,5,0,1,0,010,Active bloggers
StevenHuangHC,6,0,0,1,001,High-quality content but slow updates bloggers
Stomach地球硬磕者,5,1,0,1,101,High-quality but slow updated bloggers
Study1906,5,0,0,0,000,A growing bloggers
Studying-Leaning,6,1,1,1,111,High-quality bloggers
Super-Dopamine,7,0,1,0,010,Active bloggers
Super-郭,235,0,0,1,001,High-quality content but slow updates bloggers
Superman-girl99,6,0,1,0,010,Active bloggers
Svenboy_Official,5,0,1,1,011,High-quality content bloggers
Swiss_Boutique,54,0,0,0,000,A growing bloggers
System-control,5,1,1,1,111,High-quality bloggers
S乚IMSHADY,6,1,1,1,111,High-quality bloggers
S鬼鬼YU,5,0,1,0,010,Active bloggers
T-Jun,11,0,0,0,000,A growing bloggers
T-ON-Y,7,1,0,1,101,High-quality but slow updated bloggers
TARRY科普台,21,0,0,0,000,A growing bloggers
TED-ED国语,14,0,1,0,010,Active bloggers
TED君学演讲,8,0,0,1,001,High-quality content but slow updates bloggers
TED搬运君,9,0,1,1,011,High-quality content bloggers
TED演讲搬运,22,0,0,0,000,A growing bloggers
TED英语,11,0,1,1,011,High-quality content bloggers
TED超级演讲家,77,0,0,1,001,High-quality content but slow updates bloggers
TIC觅见丛邻,6,1,0,1,101,High-quality but slow updated bloggers
TL威酱,6,1,1,0,110,Down to earth and active bloggers
TOAACG,5,1,0,1,101,High-quality but slow updated bloggers
TOMINGWORKS,5,1,0,0,100,Down to earth bloggers
TOP10顶过的视频,10,0,1,1,011,High-quality content bloggers
TT生物笔记,6,0,0,1,001,High-quality content but slow updates bloggers
TachyonFD,6,0,0,0,000,A growing bloggers
Taradeer,9,1,0,1,101,High-quality but slow updated bloggers
Ta山之石,7,0,0,0,000,A growing bloggers
Teacher_Ma_中高考,7,1,1,0,110,Down to earth and active bloggers
TechKyle,9,0,0,0,000,A growing bloggers
TechLinked,15,0,0,0,000,A growing bloggers
Tech逆向思维,5,0,1,0,010,Active bloggers
The-Richest,21,0,0,0,000,A growing bloggers
TheRichest,5,0,1,0,010,Active bloggers
TheStig-tig-ig-g,20,0,0,0,000,A growing bloggers
The_matrix_has_U,16,0,0,1,001,High-quality content but slow updates bloggers
TonyHCCC,12,0,0,0,000,A growing bloggers
TotoWS,27,0,0,1,001,High-quality content but slow updates bloggers
Totorozeng,5,1,1,1,111,High-quality bloggers
Toucc,10,1,0,1,101,High-quality but slow updated bloggers
Trsdy,10,0,1,1,011,High-quality content bloggers
Tuesday_Jimmy,7,0,1,1,011,High-quality content bloggers
T大D老师,9,0,0,1,001,High-quality content but slow updates bloggers
UFQDFCS,28,0,0,1,001,High-quality content but slow updates bloggers
UID_347507416,11,0,1,1,011,High-quality content bloggers
UNITelescope,10,0,0,0,000,A growing bloggers
UltimateLambda,14,0,0,1,001,High-quality content but slow updates bloggers
UncleBoson,25,0,0,1,001,High-quality content but slow updates bloggers
Uncle火,7,0,1,0,010,Active bloggers
Unsolvable破碎无解,9,1,0,1,101,High-quality but slow updated bloggers
UplusTech,6,1,0,0,100,Down to earth bloggers
Utt-a平方Uxx等于0,10,1,0,1,101,High-quality but slow updated bloggers
Uzi的vayne,7,0,1,0,010,Active bloggers
VIC56_CC,26,0,0,1,001,High-quality content but slow updates bloggers
VICTORK_,21,0,0,0,000,A growing bloggers
VR全景,5,0,1,0,010,Active bloggers
VR电报,8,1,1,0,110,Down to earth and active bloggers
VaVa机器人余老师,25,0,0,0,000,A growing bloggers
Veritasium真理元素,16,0,0,1,001,High-quality content but slow updates bloggers
ViaX盐教授,7,0,0,1,001,High-quality content but slow updates bloggers
Victory_钾盐鬼才,16,1,0,1,101,High-quality but slow updated bloggers
Viktor-Vitya,7,1,0,1,101,High-quality but slow updated bloggers
Vox搬运组,5,1,1,1,111,High-quality bloggers
WHUQC,20,0,1,1,011,High-quality content bloggers
WXRIW,8,1,1,0,110,Down to earth and active bloggers
WYWYWY54321,9,0,0,0,000,A growing bloggers
Waitlessing,11,0,0,1,001,High-quality content but slow updates bloggers
Wang飏鸔牢,5,1,0,0,100,Down to earth bloggers
Wate-H2O,5,0,1,0,010,Active bloggers
Wayne字幕组,30,0,0,0,000,A growing bloggers
WeekendLabs,33,0,0,1,001,High-quality content but slow updates bloggers
WongBinggong,6,1,1,0,110,Down to earth and active bloggers
Wong_Hei,5,1,1,0,110,Down to earth and active bloggers
Woooorld,5,1,1,0,110,Down to earth and active bloggers
XJ-9_小心,12,1,0,0,100,Down to earth bloggers
XShhSX,46,0,0,0,000,A growing bloggers
Y_Yizhuo,23,0,0,1,001,High-quality content but slow updates bloggers
YangzhaoTIO,6,0,0,1,001,High-quality content but slow updates bloggers
YannnnnaY,31,0,0,1,001,High-quality content but slow updates bloggers
Yann觀宇宙,8,1,0,0,100,Down to earth bloggers
YouTuBe--搬运,19,0,0,0,000,A growing bloggers
YouTube体育猎奇专题,8,0,0,0,000,A growing bloggers
YouTube分享频道,6,0,1,0,010,Active bloggers
YouTube口语听力精选,22,0,0,0,000,A growing bloggers
YouTube听说优选,20,0,0,0,000,A growing bloggers
YouTube搬运工啊,8,0,1,0,010,Active bloggers
YouTube热评,28,0,0,0,000,A growing bloggers
YouTube科普,100,0,0,1,001,High-quality content but slow updates bloggers
YouTube精选字幕组,21,0,0,0,000,A growing bloggers
YouTube航空,5,1,1,1,111,High-quality bloggers
You_Are_Free,39,0,0,1,001,High-quality content but slow updates bloggers
Young课堂,12,0,1,1,011,High-quality content bloggers
YourMath,9,0,1,1,011,High-quality content bloggers
Youth4Ocean,9,0,0,1,001,High-quality content but slow updates bloggers
Youtube_粉红字幕小组,6,0,1,0,010,Active bloggers
Youtube油管精品搬运,14,0,0,0,000,A growing bloggers
YuannanLi420,8,1,0,1,101,High-quality but slow updated bloggers
Yumikozhb,9,0,0,0,000,A growing bloggers
Yuuuuuuuuuuuki,5,1,1,0,110,Down to earth and active bloggers
ZIYOUDE-PAPAGENO,10,1,0,1,101,High-quality but slow updated bloggers
Zelo-Balance,15,0,0,0,000,A growing bloggers
Zhangxiheng,10,1,1,1,111,High-quality bloggers
ZhuLeZi,18,0,1,0,010,Active bloggers
Z左撇子韓,91,0,0,1,001,High-quality content but slow updates bloggers
Z环小化,17,1,0,1,101,High-quality but slow updated bloggers
_SmartPig_,5,1,0,1,101,High-quality but slow updated bloggers
_Tanh,5,1,0,1,101,High-quality but slow updated bloggers
_yaing_,6,1,1,0,110,Down to earth and active bloggers
_宇正_,16,0,0,1,001,High-quality content but slow updates bloggers
_鹤梦_,29,0,0,1,001,High-quality content but slow updates bloggers
aKSP航天探索协会-,15,1,0,0,100,Down to earth bloggers
abby4611,5,0,0,1,001,High-quality content but slow updates bloggers
abbyhawk,5,1,1,1,111,High-quality bloggers
acellosoloist,11,0,0,0,000,A growing bloggers
adflyz,14,0,0,1,001,High-quality content but slow updates bloggers
anthony_dbl,8,1,1,1,111,High-quality bloggers
arcticf,10,0,0,1,001,High-quality content but slow updates bloggers
auleehung,21,0,0,0,000,A growing bloggers
avexcy,6,0,0,0,000,A growing bloggers
a冥灵,6,0,0,0,000,A growing bloggers
barry看世界,12,1,0,1,101,High-quality but slow updated bloggers
beryyyyyyy,6,0,1,1,011,High-quality content bloggers
bg8gvj,6,1,0,0,100,Down to earth bloggers
bgaohokies,29,0,0,0,000,A growing bloggers
biblee_zt,20,0,0,1,001,High-quality content but slow updates bloggers
bili-乌龟,8,1,1,1,111,High-quality bloggers
bili_10215951895,7,0,1,0,010,Active bloggers
bili_11619145457,7,0,1,0,010,Active bloggers
bili_11896406087,11,0,1,0,010,Active bloggers
bili_13078330865,5,0,1,0,010,Active bloggers
bili_14244976339,14,0,0,0,000,A growing bloggers
bili_15958955812,6,0,1,1,011,High-quality content bloggers
bili_18901617877,9,1,1,0,110,Down to earth and active bloggers
bili_19615045148,11,0,1,0,010,Active bloggers
bili_19678957211,9,0,1,0,010,Active bloggers
bili_29434308924,12,0,0,1,001,High-quality content but slow updates bloggers
bili_30470279765,14,0,1,1,011,High-quality content bloggers
bili_31980102093,8,0,1,0,010,Active bloggers
bili_36935034204,37,0,0,0,000,A growing bloggers
bili_377895744,9,0,1,0,010,Active bloggers
bili_38733135418,7,1,1,0,110,Down to earth and active bloggers
bili_41533172106,11,0,1,0,010,Active bloggers
bili_44719271459,5,0,1,0,010,Active bloggers
bili_45288065452,281,0,0,0,000,A growing bloggers
bili_54903363066,5,1,0,1,101,High-quality but slow updated bloggers
bili_56781554698,6,0,1,0,010,Active bloggers
bili_58967409500,5,1,1,0,110,Down to earth and active bloggers
bili_61424998247,5,0,1,1,011,High-quality content bloggers
bili_62211865282,5,1,1,0,110,Down to earth and active bloggers
bili_62441930388,9,0,0,0,000,A growing bloggers
bili_63441912091,33,0,0,0,000,A growing bloggers
bili_65235480,10,1,0,0,100,Down to earth bloggers
bili_65692914932,6,0,1,0,010,Active bloggers
bili_68974075895,5,1,1,1,111,High-quality bloggers
bili_71239788166,6,0,1,0,010,Active bloggers
bili_72321408317,8,0,1,0,010,Active bloggers
bili_75291157202,8,0,0,0,000,A growing bloggers
bili_76144730497,6,0,1,0,010,Active bloggers
bili_83666240839,9,0,0,0,000,A growing bloggers
bili_83813207918,9,0,0,0,000,A growing bloggers
bili_84207634681,5,1,1,0,110,Down to earth and active bloggers
bili_84320301631,6,1,1,0,110,Down to earth and active bloggers
bili_85292988011,20,1,0,1,101,High-quality but slow updated bloggers
bili_87513199913,56,0,1,0,010,Active bloggers
bili_88995884834,20,0,0,0,000,A growing bloggers
bili_89227009683,7,1,1,1,111,High-quality bloggers
bili_89454581850,6,0,1,0,010,Active bloggers
bili_93567627088,5,0,1,0,010,Active bloggers
bili_93581730392,21,0,0,0,000,A growing bloggers
bili_93827619851,5,0,1,0,010,Active bloggers
bili_93842652875,6,0,1,1,011,High-quality content bloggers
bili_97758106089,11,1,1,0,110,Down to earth and active bloggers
bili_佰鲸,13,0,0,0,000,A growing bloggers
bin5i,17,0,1,0,010,Active bloggers
bioku,20,0,1,0,010,Active bloggers
biss879837607,20,0,0,0,000,A growing bloggers
blbl20170617,5,0,1,0,010,Active bloggers
borland9,42,0,0,1,001,High-quality content but slow updates bloggers
brianShan974,12,1,0,1,101,High-quality but slow updated bloggers
broadeneyes,115,0,0,0,000,A growing bloggers
by落墨的落寞,8,1,1,1,111,High-quality bloggers
captainHi,16,0,0,1,001,High-quality content but slow updates bloggers
captainriver1,5,0,1,0,010,Active bloggers
carmenko123789,7,1,1,0,110,Down to earth and active bloggers
catkin10,5,1,1,0,110,Down to earth and active bloggers
cavaj,6,1,1,1,111,High-quality bloggers
cbnmuij,7,1,0,0,100,Down to earth bloggers
ccqqlinda,5,0,1,0,010,Active bloggers
chaomq,9,1,1,1,111,High-quality bloggers
charleyyale,6,0,1,0,010,Active bloggers
chejingtao,8,1,1,1,111,High-quality bloggers
chemistry-ZZ,5,1,1,1,111,High-quality bloggers
chenshanblue,10,0,0,0,000,A growing bloggers
chris2973,8,1,1,0,110,Down to earth and active bloggers
cidpmath,32,0,1,1,011,High-quality content bloggers
cigar666,9,0,0,1,001,High-quality content but slow updates bloggers
ckxandie,8,0,1,0,010,Active bloggers
classmethod,5,1,1,1,111,High-quality bloggers
clxmg2030,19,0,0,0,000,A growing bloggers
clyibb,5,0,0,0,000,A growing bloggers
conandiy,24,0,0,0,000,A growing bloggers
cookie地理学,28,0,1,1,011,High-quality content bloggers
coolcao的小站,14,1,0,1,101,High-quality but slow updated bloggers
crucioer,19,1,0,1,101,High-quality but slow updated bloggers
cryforwind,10,1,0,1,101,High-quality but slow updated bloggers
csrwgs,11,1,0,1,101,High-quality but slow updated bloggers
cuucko,5,1,1,1,111,High-quality bloggers
dakuangdang,6,1,1,0,110,Down to earth and active bloggers
delphi816,9,1,0,0,100,Down to earth bloggers
dengyouth,17,0,0,0,000,A growing bloggers
dexinnn,14,0,0,0,000,A growing bloggers
dgy18787,14,0,0,0,000,A growing bloggers
dkdwxkxw,5,1,1,1,111,High-quality bloggers
dogfaraway,5,1,1,1,111,High-quality bloggers
doyo网络研究所官方,5,1,0,1,101,High-quality but slow updated bloggers
dr_abcdefg,6,0,0,1,001,High-quality content but slow updates bloggers
dswen94,7,1,1,1,111,High-quality bloggers
dz9911999,5,1,1,0,110,Down to earth and active bloggers
ediwang1202,7,1,1,0,110,Down to earth and active bloggers
ek细胞,5,0,1,0,010,Active bloggers
enmotech小助手,5,0,1,0,010,Active bloggers
esmelas,9,0,0,0,000,A growing bloggers
faceky,5,0,1,1,011,High-quality content bloggers
fangy930,5,1,1,1,111,High-quality bloggers
fc小朋友,25,0,0,1,001,High-quality content but slow updates bloggers
findlamp,36,0,0,1,001,High-quality content but slow updates bloggers
fire1tech,124,0,0,1,001,High-quality content but slow updates bloggers
fjminxi,84,0,0,1,001,High-quality content but slow updates bloggers
fly-airbus,51,0,0,0,000,A growing bloggers
for华佳,13,1,0,1,101,High-quality but slow updated bloggers
fsbjurb,5,0,1,1,011,High-quality content bloggers
geogebra海珠学习者,20,0,0,0,000,A growing bloggers
ghhbear,6,0,0,0,000,A growing bloggers
gogoplx,33,0,0,0,000,A growing bloggers
gougougouggg,16,1,0,0,100,Down to earth bloggers
granny恐怖奶奶,10,0,1,1,011,High-quality content bloggers
guanghua_fan,7,1,1,0,110,Down to earth and active bloggers
guomengtao,5,0,1,0,010,Active bloggers
halloDeutschwelt,20,0,0,1,001,High-quality content but slow updates bloggers
haoyue0479,5,0,1,0,010,Active bloggers
heidoudou82,11,0,0,0,000,A growing bloggers
helenyushenzhen,6,0,0,1,001,High-quality content but slow updates bloggers
hengli812,28,0,1,0,010,Active bloggers
herman08,9,0,1,0,010,Active bloggers
hgdg1,5,0,1,0,010,Active bloggers
hhhydisjsu,5,1,1,0,110,Down to earth and active bloggers
hi李老师呀,5,1,0,1,101,High-quality but slow updated bloggers
ho_白,5,0,0,0,000,A growing bloggers
hsutailee,23,0,0,0,000,A growing bloggers
huangjinyang2020,16,1,1,0,110,Down to earth and active bloggers
ijkxyhtnEmRfVa,6,0,0,0,000,A growing bloggers
imwonder,59,0,0,0,000,A growing bloggers
inthebox_盒里,7,0,0,0,000,A growing bloggers
ipqndl,10,0,1,0,010,Active bloggers
itopbili,8,1,1,1,111,High-quality bloggers
iuming,5,0,1,0,010,Active bloggers
i思考的乌鸦,16,0,0,1,001,High-quality content but slow updates bloggers
i达人科普说,9,0,0,0,000,A growing bloggers
jackforlit,9,1,1,0,110,Down to earth and active bloggers
jensenshu,5,1,1,1,111,High-quality bloggers
jessica_边学边玩,25,0,1,0,010,Active bloggers
jiashan0312,11,0,0,1,001,High-quality content but slow updates bloggers
jinquan_zheng,5,1,1,1,111,High-quality bloggers
jjgrady,5,0,0,0,000,A growing bloggers
jun0114,19,0,0,0,000,A growing bloggers
jyzheng1996,5,1,1,1,111,High-quality bloggers
kai哥牛逼,5,1,1,1,111,High-quality bloggers
kira晗,5,1,1,0,110,Down to earth and active bloggers
kofgame,38,0,0,0,000,A growing bloggers
koko77057705,6,0,1,0,010,Active bloggers
lanzhousunsunme,15,0,0,0,000,A growing bloggers
laowu2017,10,1,0,0,100,Down to earth bloggers
lapi,6,1,1,1,111,High-quality bloggers
leooooonana,14,0,0,1,001,High-quality content but slow updates bloggers
lfy-11,31,0,1,0,010,Active bloggers
lily19801980,9,0,0,0,000,A growing bloggers
lincoln_yang,10,0,1,0,010,Active bloggers
linhonglinhong,7,1,1,1,111,High-quality bloggers
lllaomao,5,1,1,1,111,High-quality bloggers
llvvqiang,6,0,1,0,010,Active bloggers
love修行中的阿哲,52,0,0,0,000,A growing bloggers
lovinginmind,7,0,0,0,000,A growing bloggers
low唧怪,6,0,0,0,000,A growing bloggers
luojingjing88,5,1,0,0,100,Down to earth bloggers
lyh199188,35,0,0,0,000,A growing bloggers
lzx000000001,11,0,1,0,010,Active bloggers
lzx10071007,5,0,1,0,010,Active bloggers
lz昂,51,0,1,0,010,Active bloggers
mafiaflys院长,16,1,0,1,101,High-quality but slow updated bloggers
magicbirdy,6,1,1,1,111,High-quality bloggers
makunsq,5,0,1,1,011,High-quality content bloggers
matlabaihaozhe,11,0,1,0,010,Active bloggers
maxwellDJW,10,1,0,1,101,High-quality but slow updated bloggers
mengder头号粉丝,5,1,0,1,101,High-quality but slow updated bloggers
minute100,5,1,1,1,111,High-quality bloggers
misunmisun,20,0,0,1,001,High-quality content but slow updates bloggers
mkm-ckn,34,0,0,0,000,A growing bloggers
momolucky75,8,1,0,0,100,Down to earth bloggers
monster_color,7,1,0,1,101,High-quality but slow updated bloggers
mrzzd,11,0,1,0,010,Active bloggers
muziyixiu1981,9,0,0,0,000,A growing bloggers
n14122,5,0,1,0,010,Active bloggers
neurochat2020,18,0,1,0,010,Active bloggers
nice_noob,10,1,1,1,111,High-quality bloggers
nimnn,9,1,1,1,111,High-quality bloggers
nonoonline,6,1,1,0,110,Down to earth and active bloggers
normanbean,9,0,0,0,000,A growing bloggers
o0Brandy0o,5,1,0,1,101,High-quality but slow updated bloggers
